site area,structure type,water consumption,recycling rate,utilisation rate,air qality index,issue reolution time,resident count,electricity cost,Appliance_Type,Meter_Type,Usage_Pattern,Energy_Source,Maintenance_Status,Peak_Hour_Usage,Backup_Power,Weather_Condition
1903,Commercial,3480,16,99,196,11,0,2447,AC,Smart,Medium,Wind,Good,No,Inverter,Summer
3160,Mixed-use,3014,16,100,190,47,303,2673,Heater,Smart,Medium,Solar,Poor,No,None,Rainy
2597,Commercial,5654,15,83,85,13,0,3037,Heater,Smart,Low,Wind,Poor,Yes,Generator,Summer
3932,Mixed-use,7485,24,32,67,11,65,2803,Fan,Smart,Medium,Grid,Good,Yes,Generator,Winter
1306,Commercial,1000,49,100,61,3,0,1909,Refrigerator,Smart,High,Grid,Average,No,Inverter,Rainy
4400,Mixed-use,6192,44,54,193,4,139,3352,AC,Smart,High,Wind,Average,No,Inverter,Summer
4933,Mixed-use,8900,47,55,13,59,357,3793,AC,Smart,Low,Wind,Good,No,Generator,Summer
1441,Industrial,1275,20,76,39,66,0,2605,Fan,Analog,Medium,Wind,Good,No,None,Winter
3685,Commercial,5715,33,93,178,30,0,4078,AC,Analog,High,Grid,Good,Yes,Inverter,Summer
4968,Residential,5504,65,88,153,23,342,5344,Fan,Analog,Medium,Grid,Good,Yes,None,Winter
2406,Residential,3731,14,55,20,59,174,2538,AC,Analog,Low,Wind,Good,Yes,Inverter,Summer
3235,Residential,5949,64,67,78,69,247,4143,AC,Smart,Low,Grid,Average,No,None,Rainy
1745,Mixed-use,1579,74,94,116,7,46,1887,Fan,Smart,Low,Grid,Good,Yes,Inverter,Summer
3781,Residential,5043,37,39,158,58,40,3071,Washing Machine,Smart,Medium,Grid,Average,Yes,Generator,Rainy
1026,Mixed-use,2106,44,95,31,10,63,1867,Refrigerator,Analog,Medium,Solar,Good,No,Inverter,Winter
1382,Residential,1330,50,84,37,38,119,2403,AC,Smart,Low,Solar,Good,No,Generator,Summer
4744,Residential,2153,17,33,114,29,160,3436,AC,Analog,Low,Solar,Poor,Yes,Inverter,Winter
3900,Residential,5056,60,69,50,30,242,4431,Refrigerator,Smart,High,Solar,Poor,Yes,Generator,Rainy
891,Industrial,1863,20,85,72,67,0,2385,Fan,Analog,High,Solar,Good,No,Inverter,Rainy
1014,Commercial,1000,74,69,87,17,0,1587,AC,Smart,Low,Grid,Poor,No,Inverter,Winter
3688,Commercial,6615,27,96,118,1,0,3908,Washing Machine,Smart,High,Wind,Average,No,None,Winter
4213,Residential,5065,22,38,123,27,232,4115,Fan,Analog,High,Solar,Average,No,Generator,Winter
623,Residential,1142,25,57,107,40,58,1499,Refrigerator,Analog,High,Grid,Average,Yes,Generator,Rainy
1268,Residential,2301,89,74,107,16,32,1760,Fan,Analog,Medium,Solar,Poor,No,Generator,Winter
4812,Commercial,7722,85,57,187,65,0,4836,AC,Smart,High,Grid,Good,No,None,Rainy
4388,Industrial,4878,12,53,145,50,0,4575,AC,Smart,High,Solar,Average,Yes,None,Rainy
1570,Residential,1867,90,86,108,37,49,2145,Heater,Analog,Medium,Grid,Average,Yes,None,Winter
1773,Commercial,2412,64,73,105,45,0,2253,Heater,Smart,High,Wind,Good,Yes,None,Summer
4166,Commercial,4649,52,64,35,2,0,3583,Refrigerator,Analog,Medium,Solar,Poor,Yes,Generator,Winter
539,Industrial,1000,27,57,90,43,0,1362,Refrigerator,Smart,Low,Wind,Average,No,None,Rainy
4821,Residential,6339,35,86,11,58,231,4859,Refrigerator,Smart,Medium,Grid,Average,No,Inverter,Rainy
974,Mixed-use,1000,39,61,159,23,48,1262,Heater,Analog,High,Solar,Poor,No,Generator,Rainy
2146,Residential,3372,87,94,107,10,104,2823,Heater,Analog,Medium,Wind,Good,No,Generator,Summer
1920,Mixed-use,1000,89,53,142,50,116,1789,Refrigerator,Analog,Low,Wind,Average,Yes,Inverter,Rainy
3282,Residential,5672,13,97,197,45,128,3698,Heater,Smart,High,Grid,Good,No,Generator,Rainy
1284,Residential,1592,31,62,16,72,116,2276,AC,Smart,High,Wind,Poor,No,Inverter,Winter
3948,Commercial,2605,48,87,84,62,0,4004,Heater,Smart,Low,Wind,Good,No,Inverter,Rainy
1203,Residential,1891,87,41,69,29,92,1632,Heater,Analog,High,Solar,Poor,No,Generator,Rainy
3291,Residential,3890,47,70,90,25,175,3286,Fan,Analog,High,Wind,Good,Yes,None,Rainy
2834,Residential,3255,76,38,119,66,223,3190,Refrigerator,Smart,Low,Grid,Poor,No,None,Rainy
4681,Mixed-use,5604,86,49,168,20,436,3344,Refrigerator,Smart,Low,Wind,Poor,No,None,Winter
4209,Residential,7127,89,60,141,10,303,4656,Fan,Smart,Low,Grid,Good,No,Generator,Rainy
4138,Commercial,5628,64,39,16,30,0,3457,Refrigerator,Analog,Low,Wind,Poor,Yes,Inverter,Winter
2773,Residential,4046,52,97,91,22,89,2953,Heater,Smart,Medium,Solar,Good,No,Generator,Rainy
3222,Industrial,2665,45,49,29,20,0,3460,AC,Analog,Low,Grid,Good,No,Generator,Rainy
4022,Mixed-use,5556,54,34,93,26,17,2896,Heater,Analog,Medium,Solar,Average,No,Inverter,Rainy
4240,Mixed-use,8515,82,38,84,60,251,2810,Fan,Analog,Low,Wind,Average,Yes,None,Summer
995,Mixed-use,1000,39,47,18,29,21,1035,Fan,Smart,High,Grid,Good,Yes,None,Winter
605,Mixed-use,1000,78,41,5,6,45,520,AC,Analog,Low,Grid,Good,Yes,None,Rainy
2840,Commercial,4366,21,65,118,36,0,2786,Washing Machine,Analog,Low,Grid,Good,No,Generator,Rainy
3317,Residential,4430,52,37,142,31,72,3024,Fan,Smart,High,Solar,Average,No,Inverter,Winter
1640,Residential,2135,61,51,66,65,162,2076,Fan,Analog,Medium,Grid,Average,Yes,Generator,Winter
4643,Mixed-use,4905,31,86,0,39,241,3425,AC,Analog,Low,Solar,Average,Yes,Inverter,Winter
3145,Mixed-use,5576,64,49,40,25,217,2338,Heater,Analog,High,Wind,Average,Yes,Generator,Rainy
3497,Industrial,3166,40,57,22,31,0,3661,Refrigerator,Smart,High,Solar,Good,No,Inverter,Winter
3417,Commercial,2381,34,89,195,28,0,3425,Heater,Analog,Medium,Solar,Average,No,None,Winter
1645,Residential,3122,63,81,141,50,58,2055,Heater,Smart,High,Solar,Poor,No,Inverter,Winter
1278,Residential,1118,85,82,76,15,114,2230,Refrigerator,Smart,Medium,Grid,Poor,No,Inverter,Rainy
2196,Residential,3522,48,48,33,16,33,1946,Heater,Smart,High,Wind,Poor,Yes,None,Rainy
2486,Residential,1000,45,41,94,43,194,2888,Heater,Analog,Low,Wind,Poor,No,None,Summer
4179,Mixed-use,4736,27,48,70,40,374,3156,AC,Analog,High,Wind,Poor,No,Inverter,Winter
4300,Residential,2357,11,53,44,56,88,3437,Heater,Analog,High,Grid,Average,No,None,Winter
999,Commercial,1209,40,80,191,26,0,1697,Refrigerator,Smart,High,Grid,Good,Yes,Generator,Winter
1987,Mixed-use,4087,75,62,145,34,99,1837,Refrigerator,Smart,High,Wind,Good,Yes,Inverter,Winter
1554,Residential,1706,27,34,58,12,82,1589,Refrigerator,Analog,High,Solar,Poor,No,Generator,Winter
2238,Residential,2493,30,84,178,70,169,3149,Heater,Smart,Medium,Wind,Poor,No,Inverter,Rainy
2560,Mixed-use,1971,73,45,38,56,157,1751,Fan,Smart,High,Wind,Poor,No,None,Summer
2260,Residential,3494,28,80,106,69,169,3090,Heater,Smart,Medium,Solar,Good,No,None,Summer
3139,Commercial,3705,15,48,152,6,0,2971,Fan,Analog,Medium,Grid,Average,No,Inverter,Rainy
1261,Industrial,2433,72,43,178,45,0,1968,Heater,Analog,Medium,Solar,Average,Yes,Inverter,Rainy
1069,Industrial,1983,89,84,102,31,0,2093,Washing Machine,Analog,Medium,Grid,Good,Yes,None,Summer
3011,Commercial,3224,12,88,29,39,0,3388,Refrigerator,Analog,Low,Grid,Poor,Yes,None,Winter
1567,Industrial,1081,29,70,69,37,0,2480,Heater,Analog,High,Wind,Good,No,None,Summer
3154,Commercial,2797,73,31,132,54,0,2686,Refrigerator,Analog,Low,Wind,Good,Yes,None,Summer
1667,Commercial,1868,72,35,112,64,0,1861,Refrigerator,Analog,Low,Wind,Poor,Yes,None,Rainy
855,Residential,1078,59,78,29,51,67,1637,AC,Analog,Low,Grid,Average,Yes,None,Rainy
4793,Residential,7424,41,39,178,41,393,5550,Washing Machine,Analog,Medium,Grid,Good,Yes,Generator,Winter
2338,Commercial,1984,22,68,40,50,0,2504,Fan,Smart,Low,Grid,Poor,Yes,Generator,Winter
3007,Commercial,1959,42,50,62,27,0,2458,Refrigerator,Analog,Low,Solar,Poor,Yes,Inverter,Winter
1081,Industrial,1231,58,77,22,62,0,2259,Heater,Smart,Low,Wind,Good,Yes,Generator,Summer
3854,Mixed-use,3005,20,69,117,48,136,2544,AC,Analog,Medium,Wind,Average,Yes,None,Rainy
3107,Residential,2936,35,36,96,52,178,2703,Heater,Smart,High,Wind,Poor,Yes,None,Winter
1045,Mixed-use,2064,30,53,32,4,56,989,Refrigerator,Analog,Medium,Wind,Poor,No,Generator,Rainy
930,Residential,1000,70,85,107,59,69,1791,Refrigerator,Smart,Medium,Grid,Average,Yes,None,Rainy
3562,Mixed-use,2903,47,55,140,31,305,2446,AC,Analog,Medium,Solar,Poor,Yes,None,Summer
3456,Commercial,2893,38,40,7,38,0,3107,Refrigerator,Smart,High,Solar,Poor,Yes,None,Rainy
2324,Industrial,1751,14,39,22,54,0,2670,Fan,Smart,Low,Grid,Poor,Yes,Generator,Rainy
2138,Mixed-use,2381,88,34,162,35,30,1233,Washing Machine,Analog,High,Solar,Good,Yes,Inverter,Winter
4994,Commercial,8295,45,44,183,42,0,4105,Refrigerator,Smart,Medium,Solar,Average,Yes,Inverter,Summer
4615,Residential,4543,55,69,97,64,150,4157,AC,Smart,Medium,Wind,Average,No,Generator,Winter
1638,Commercial,2186,70,47,105,17,0,1414,Washing Machine,Analog,High,Solar,Average,No,Generator,Summer
3497,Industrial,3166,40,57,22,31,0,3661,Fan,Analog,Low,Solar,Average,No,Generator,Rainy
1766,Residential,2089,58,65,121,16,100,2436,AC,Analog,Medium,Solar,Good,No,Inverter,Summer
4731,Mixed-use,2339,40,35,2,15,319,3140,Washing Machine,Smart,High,Solar,Average,Yes,Generator,Rainy
3157,Residential,2713,24,76,43,30,220,3539,Washing Machine,Smart,High,Solar,Poor,No,Inverter,Rainy
1887,Industrial,3268,43,36,131,18,0,2552,Fan,Smart,Low,Wind,Poor,No,None,Rainy
4734,Commercial,4546,13,87,155,2,0,4828,Fan,Analog,Medium,Wind,Poor,No,Inverter,Winter
3419,Mixed-use,5601,17,61,140,21,38,2538,AC,Analog,High,Wind,Good,No,None,Winter
3300,Mixed-use,1445,41,99,3,28,31,2563,Heater,Smart,Medium,Wind,Good,Yes,Generator,Rainy
2449,Residential,3716,39,67,98,18,211,3298,Heater,Smart,Medium,Grid,Average,Yes,None,Winter
758,Commercial,1161,54,74,22,57,0,1742,Refrigerator,Analog,High,Wind,Poor,No,None,Winter
3263,Residential,5814,25,31,69,13,132,2810,Heater,Analog,Medium,Solar,Good,Yes,Generator,Rainy
3000,Residential,3021,14,41,158,37,212,3204,AC,Analog,Medium,Grid,Average,No,Inverter,Winter
3323,Industrial,3420,86,39,188,14,0,3171,Refrigerator,Analog,Low,Solar,Good,Yes,None,Rainy
2190,Mixed-use,3739,22,79,146,3,40,2649,Refrigerator,Analog,High,Grid,Poor,Yes,Generator,Winter
3794,Residential,3672,61,49,181,31,368,4950,Heater,Smart,High,Wind,Poor,No,Inverter,Summer
4391,Mixed-use,6947,21,37,58,16,229,2797,Fan,Analog,Low,Grid,Good,Yes,Generator,Rainy
1655,Industrial,1582,59,92,2,66,0,2299,Heater,Smart,High,Grid,Poor,No,None,Winter
4932,Commercial,6133,37,85,23,35,0,4848,Fan,Analog,High,Grid,Average,Yes,Generator,Summer
4657,Residential,4523,53,49,19,38,109,3838,Refrigerator,Smart,Low,Wind,Poor,No,Inverter,Winter
783,Mixed-use,1505,64,79,44,18,51,1462,Heater,Analog,Medium,Solar,Good,Yes,None,Rainy
1212,Industrial,3408,79,77,33,70,0,2070,Refrigerator,Smart,Medium,Wind,Poor,Yes,None,Summer
1544,Residential,2127,29,44,152,44,118,1887,AC,Analog,Low,Wind,Poor,No,None,Winter
2300,Mixed-use,4034,37,38,7,28,208,2124,Refrigerator,Analog,Low,Grid,Good,No,Inverter,Summer
3035,Residential,4278,78,32,189,16,96,2499,Washing Machine,Smart,High,Solar,Average,Yes,Generator,Summer
4896,Residential,2940,75,65,34,4,180,4018,Heater,Analog,Medium,Grid,Average,No,Inverter,Winter
3133,Residential,5401,81,57,11,18,31,2862,Refrigerator,Smart,High,Wind,Good,Yes,Generator,Rainy
3038,Mixed-use,4349,11,34,42,12,90,1741,Washing Machine,Analog,High,Grid,Poor,Yes,Generator,Rainy
921,Residential,1000,90,83,140,21,52,1755,Refrigerator,Analog,Low,Solar,Average,No,Generator,Summer
4235,Industrial,4059,62,85,128,70,0,5148,Heater,Analog,Low,Wind,Average,No,Inverter,Summer
3210,Commercial,6463,23,36,129,9,0,3171,Fan,Analog,Low,Wind,Average,No,None,Rainy
3742,Mixed-use,4657,28,95,123,3,366,3160,Heater,Smart,Low,Solar,Average,Yes,None,Winter
1498,Commercial,1770,71,84,188,6,0,1871,Heater,Smart,Medium,Solar,Poor,Yes,Inverter,Summer
4937,Residential,8475,79,64,199,2,40,3832,AC,Smart,Low,Grid,Average,No,Generator,Summer
808,Mixed-use,2355,14,94,49,63,47,1397,Fan,Analog,Low,Solar,Good,Yes,None,Rainy
2460,Mixed-use,1584,85,51,197,10,206,1562,Fan,Analog,Low,Solar,Average,Yes,Inverter,Rainy
2366,Mixed-use,3700,10,62,96,30,71,2122,Heater,Smart,High,Grid,Poor,No,None,Rainy
2473,Industrial,1523,80,30,5,2,0,2167,Fan,Smart,Low,Wind,Good,Yes,None,Winter
1702,Residential,1000,28,71,168,17,19,1801,Heater,Analog,High,Solar,Average,No,Inverter,Summer
1072,Commercial,1552,41,36,116,39,0,873,Washing Machine,Analog,Low,Grid,Poor,No,Generator,Winter
2292,Residential,2822,62,58,86,41,80,2174,Heater,Smart,High,Wind,Poor,No,None,Summer
919,Residential,1000,47,43,170,3,46,1288,AC,Analog,Medium,Grid,Good,Yes,Generator,Rainy
3104,Residential,6080,88,92,94,34,30,2758,Washing Machine,Analog,Low,Wind,Poor,Yes,Generator,Rainy
3749,Commercial,2122,44,49,176,45,0,3415,Refrigerator,Analog,Low,Solar,Good,No,Generator,Summer
3662,Residential,6261,76,38,7,59,41,2793,Washing Machine,Analog,Low,Solar,Good,No,Inverter,Rainy
3640,Mixed-use,4098,85,80,90,44,225,2850,Fan,Smart,Medium,Wind,Good,Yes,None,Rainy
3811,Mixed-use,6709,47,84,9,42,161,2589,Washing Machine,Analog,Medium,Wind,Poor,No,None,Rainy
1085,Commercial,1000,33,47,126,70,0,1597,Washing Machine,Analog,Low,Wind,Poor,No,Generator,Summer
2945,Commercial,3905,61,34,5,63,0,2688,Fan,Smart,Low,Grid,Good,No,Inverter,Summer
511,Residential,1000,86,65,125,22,32,907,Heater,Analog,Medium,Wind,Average,Yes,Generator,Rainy
1768,Commercial,2996,79,52,28,37,0,1864,Heater,Analog,Low,Grid,Poor,Yes,Generator,Winter
1203,Residential,1264,22,30,76,41,65,1389,AC,Smart,Medium,Grid,Poor,No,Inverter,Summer
3595,Residential,4891,78,99,39,56,239,4362,AC,Analog,Low,Solar,Poor,No,None,Rainy
4348,Residential,7125,67,55,179,68,205,4535,Refrigerator,Analog,Low,Grid,Poor,No,Generator,Summer
2729,Residential,5260,90,75,41,13,176,3238,Washing Machine,Smart,Low,Solar,Poor,No,Generator,Summer
548,Mixed-use,1000,57,75,51,50,39,1015,Fan,Analog,Medium,Wind,Poor,Yes,Generator,Rainy
2933,Commercial,3549,42,53,52,65,0,2534,Washing Machine,Smart,High,Solar,Average,No,None,Rainy
640,Mixed-use,1230,21,89,164,71,54,1799,Heater,Smart,High,Wind,Good,Yes,None,Rainy
3603,Residential,3393,47,84,182,15,154,3272,Washing Machine,Analog,Medium,Solar,Poor,Yes,Generator,Winter
675,Residential,1778,14,76,193,53,56,1573,Washing Machine,Smart,High,Wind,Good,No,Inverter,Winter
3853,Mixed-use,2904,70,77,199,72,18,3102,Heater,Analog,Low,Grid,Poor,Yes,None,Summer
2069,Residential,2900,62,81,153,1,18,2034,Washing Machine,Smart,High,Grid,Poor,Yes,None,Winter
1897,Industrial,1721,65,86,119,23,0,3024,Fan,Analog,Low,Solar,Poor,Yes,Inverter,Summer
1313,Residential,1505,33,39,79,35,114,2310,Refrigerator,Smart,Low,Grid,Good,Yes,Generator,Rainy
4498,Mixed-use,4473,41,35,31,64,134,2694,Refrigerator,Smart,Medium,Wind,Poor,No,Generator,Summer
3924,Commercial,7126,80,66,92,65,0,4001,Fan,Smart,Low,Solar,Poor,No,None,Winter
2990,Commercial,2433,15,78,69,27,0,2949,Refrigerator,Smart,Low,Solar,Poor,Yes,Generator,Winter
2915,Industrial,2245,47,46,123,69,0,3302,Heater,Smart,Low,Solar,Average,Yes,Generator,Rainy
4022,Mixed-use,5556,54,34,93,26,17,2896,Fan,Analog,High,Grid,Average,No,Generator,Summer
1616,Residential,1758,62,81,91,62,68,2324,Washing Machine,Analog,Low,Wind,Average,Yes,Generator,Winter
4974,Commercial,3787,60,53,15,12,0,4086,Refrigerator,Smart,Medium,Solar,Good,Yes,Inverter,Summer
2742,Residential,2057,17,34,89,39,271,3284,Heater,Analog,High,Solar,Average,No,Generator,Rainy
4264,Residential,3333,37,31,162,9,133,3519,Fan,Analog,High,Wind,Poor,Yes,None,Winter
2891,Industrial,5267,78,76,105,25,0,3714,Heater,Smart,Medium,Solar,Good,Yes,None,Winter
4984,Residential,8062,65,53,7,33,239,4619,Refrigerator,Analog,Low,Solar,Good,Yes,Inverter,Winter
3332,Residential,3744,26,98,15,32,313,4693,Heater,Smart,High,Grid,Good,Yes,Generator,Rainy
1890,Commercial,2165,42,87,176,43,0,2402,AC,Analog,Low,Solar,Poor,No,None,Winter
3234,Mixed-use,2690,30,79,109,42,288,2414,Washing Machine,Analog,High,Wind,Poor,Yes,None,Rainy
1516,Residential,2838,74,83,169,56,58,1780,Fan,Analog,Medium,Wind,Average,No,Generator,Summer
3675,Mixed-use,3369,30,34,175,34,80,2445,Fan,Smart,High,Wind,Average,Yes,None,Winter
4159,Mixed-use,3382,31,78,32,63,283,3076,Refrigerator,Smart,High,Solar,Good,Yes,Generator,Winter
4003,Residential,2614,60,99,186,9,113,3655,AC,Smart,High,Wind,Average,Yes,None,Winter
1045,Residential,1150,78,62,141,35,48,1674,Washing Machine,Smart,Low,Grid,Average,Yes,Generator,Rainy
502,Commercial,1000,37,81,46,41,0,963,Washing Machine,Smart,High,Wind,Average,No,Inverter,Rainy
513,Residential,1000,77,59,79,50,18,1316,Refrigerator,Analog,Low,Wind,Good,No,None,Rainy
2876,Mixed-use,3681,27,51,26,36,265,2529,AC,Analog,Low,Solar,Average,No,Inverter,Rainy
1577,Commercial,2158,61,66,83,58,0,2121,Heater,Analog,Low,Grid,Good,No,Generator,Summer
4857,Commercial,3446,23,38,167,24,0,4054,Heater,Smart,Low,Wind,Poor,Yes,Generator,Winter
4650,Residential,2338,27,52,85,20,173,3684,Heater,Analog,High,Wind,Poor,No,None,Winter
3712,Residential,5806,55,46,176,6,94,3094,Washing Machine,Smart,Low,Wind,Average,No,Generator,Summer
2392,Residential,4778,35,88,99,41,52,2803,Heater,Analog,High,Grid,Good,No,None,Winter
3133,Residential,5401,81,57,11,18,31,2862,Washing Machine,Analog,High,Grid,Poor,No,None,Summer
3094,Industrial,6539,85,35,159,6,0,3228,Fan,Analog,Low,Grid,Good,No,Inverter,Summer
4279,Residential,4357,66,89,155,60,316,4951,Washing Machine,Analog,Medium,Grid,Good,No,Generator,Winter
1062,Residential,1326,42,93,198,16,29,1862,AC,Smart,Low,Grid,Poor,No,Generator,Winter
3762,Commercial,5643,50,85,6,69,0,3528,Heater,Analog,Low,Solar,Average,Yes,None,Summer
1826,Residential,1031,43,55,9,19,118,2182,AC,Analog,Low,Grid,Average,No,Inverter,Winter
3368,Residential,3285,68,79,6,26,162,3462,Washing Machine,Smart,Medium,Wind,Average,No,Generator,Winter
3331,Commercial,5679,87,30,192,36,0,3211,Fan,Smart,High,Grid,Good,No,None,Summer
1677,Commercial,2433,54,55,100,57,0,1902,Heater,Analog,High,Grid,Good,No,None,Summer
553,Commercial,1000,17,93,151,18,0,1771,Fan,Smart,High,Wind,Poor,Yes,None,Winter
913,Residential,1381,29,96,4,39,13,1352,AC,Analog,High,Wind,Average,Yes,None,Summer
3301,Commercial,3022,49,47,185,37,0,2786,AC,Smart,Low,Grid,Average,No,Generator,Winter
3000,Residential,4891,49,93,192,35,202,3975,Heater,Smart,Medium,Solar,Poor,Yes,Generator,Rainy
4283,Mixed-use,7990,70,81,26,17,276,3266,Washing Machine,Smart,Low,Grid,Average,No,Generator,Winter
4308,Commercial,8083,62,64,3,12,0,3712,Washing Machine,Analog,Medium,Wind,Good,Yes,Inverter,Winter
4392,Residential,5735,52,34,117,16,87,3487,Fan,Smart,Medium,Wind,Good,Yes,Generator,Summer
3168,Mixed-use,4938,41,62,71,31,218,2188,Washing Machine,Smart,Medium,Solar,Average,Yes,None,Summer
1664,Residential,1693,80,56,54,16,20,1160,AC,Analog,High,Wind,Average,No,Inverter,Rainy
1387,Residential,1419,52,62,25,57,87,1700,AC,Analog,Low,Solar,Average,No,Generator,Summer
2136,Residential,1000,73,93,153,3,130,2902,Fan,Analog,High,Wind,Poor,No,Inverter,Summer
2607,Mixed-use,2228,36,66,107,45,139,2366,Heater,Analog,Medium,Solar,Good,No,Generator,Summer
2145,Industrial,4008,64,44,159,8,0,2294,Heater,Analog,Low,Grid,Average,Yes,None,Rainy
3844,Industrial,5739,51,93,121,62,0,5400,Fan,Smart,High,Grid,Poor,No,None,Winter
4910,Residential,2918,28,53,165,61,40,3683,Washing Machine,Smart,Medium,Grid,Good,No,Generator,Rainy
3147,Commercial,5574,89,71,39,37,0,3202,AC,Smart,Medium,Grid,Average,Yes,Generator,Rainy
2636,Residential,4543,30,93,4,63,192,3429,Washing Machine,Analog,Medium,Wind,Average,Yes,Generator,Summer
2437,Commercial,5008,53,90,74,33,0,2811,Heater,Smart,Medium,Solar,Average,No,Inverter,Rainy
3634,Mixed-use,7264,41,53,4,65,199,2857,Heater,Smart,Medium,Wind,Poor,No,Generator,Winter
3351,Mixed-use,5839,27,84,77,64,290,3007,Refrigerator,Smart,Medium,Wind,Average,No,Generator,Rainy
4353,Mixed-use,4735,64,97,187,35,348,3390,Fan,Smart,High,Solar,Average,No,Generator,Winter
3659,Residential,5898,76,83,178,6,71,3373,Fan,Analog,Low,Wind,Poor,No,Inverter,Winter
3261,Residential,5995,54,47,93,39,176,3694,Washing Machine,Analog,Medium,Wind,Poor,No,Generator,Winter
3683,Residential,6146,40,60,82,31,342,4299,Washing Machine,Smart,Low,Grid,Average,Yes,None,Rainy
726,Mixed-use,1176,51,80,71,57,10,1393,Washing Machine,Analog,High,Solar,Poor,No,Generator,Winter
2761,Industrial,2219,30,37,59,47,0,2674,Heater,Analog,High,Wind,Good,Yes,Generator,Winter
2876,Residential,2329,42,100,97,55,82,2765,Refrigerator,Analog,Medium,Wind,Poor,No,None,Rainy
4318,Residential,3643,32,95,64,37,299,4581,Washing Machine,Smart,High,Grid,Average,No,None,Summer
1326,Residential,2772,15,98,37,50,27,2015,AC,Analog,Low,Solar,Good,No,Generator,Rainy
1487,Residential,3200,30,61,112,19,29,1440,Refrigerator,Smart,Medium,Wind,Poor,Yes,None,Rainy
827,Mixed-use,1639,64,85,150,33,77,1646,Heater,Smart,Medium,Solar,Poor,No,Inverter,Winter
2551,Residential,1000,28,63,146,14,206,2776,Heater,Analog,High,Grid,Good,Yes,None,Winter
1674,Residential,2337,12,48,62,62,90,2288,AC,Smart,High,Solar,Good,No,Inverter,Summer
4817,Residential,6322,62,72,171,39,371,5415,Heater,Smart,Low,Grid,Poor,Yes,Inverter,Summer
3272,Mixed-use,2179,86,62,196,26,227,2422,AC,Analog,Low,Wind,Poor,Yes,Inverter,Summer
1059,Residential,1503,10,68,43,61,53,1421,Fan,Smart,High,Solar,Good,No,Inverter,Rainy
2881,Commercial,1855,32,94,14,31,0,2883,Refrigerator,Analog,Medium,Grid,Good,No,Inverter,Rainy
4110,Residential,5153,38,94,1,57,404,4937,Washing Machine,Smart,Medium,Solar,Average,Yes,Inverter,Summer
4334,Residential,8780,72,66,143,22,319,4675,Refrigerator,Analog,Medium,Wind,Poor,Yes,Generator,Rainy
1951,Commercial,2802,70,77,145,59,0,2662,Heater,Smart,Medium,Solar,Average,Yes,Inverter,Winter
663,Industrial,1835,55,86,137,33,0,2173,AC,Analog,Low,Wind,Average,No,Generator,Summer
1564,Mixed-use,1106,76,52,190,2,138,1552,AC,Smart,Low,Grid,Average,Yes,None,Summer
3137,Mixed-use,4374,45,75,185,43,311,2621,Refrigerator,Smart,Low,Wind,Good,No,None,Winter
1095,Industrial,1408,17,96,45,56,0,2062,Washing Machine,Smart,Medium,Wind,Good,No,None,Rainy
2485,Mixed-use,2686,19,35,151,7,82,1619,Washing Machine,Smart,Low,Grid,Poor,No,None,Rainy
4762,Commercial,3819,62,64,154,14,0,4016,AC,Smart,Low,Wind,Good,No,None,Summer
4527,Mixed-use,3735,57,98,152,34,60,3540,Washing Machine,Smart,Medium,Grid,Good,Yes,None,Winter
3767,Residential,3062,73,77,142,6,100,3089,Washing Machine,Analog,Low,Solar,Average,No,None,Winter
2562,Commercial,4953,74,51,186,72,0,2573,Refrigerator,Analog,Medium,Wind,Good,Yes,Generator,Winter
4068,Mixed-use,4047,51,71,189,34,292,2670,AC,Smart,Medium,Grid,Good,Yes,None,Winter
3306,Mixed-use,6274,39,56,174,26,328,2614,Washing Machine,Analog,High,Wind,Good,No,None,Summer
3903,Commercial,5407,69,94,10,56,0,4198,Fan,Analog,High,Grid,Good,No,None,Winter
2791,Residential,3556,54,56,168,51,240,3205,AC,Smart,Medium,Solar,Poor,No,None,Summer
1636,Residential,2712,41,56,112,31,151,2240,Refrigerator,Smart,High,Solar,Poor,Yes,Generator,Summer
1838,Residential,2394,24,50,123,67,155,2425,Fan,Analog,Medium,Solar,Poor,Yes,Inverter,Winter
1240,Commercial,1042,74,44,70,28,0,1527,Washing Machine,Smart,High,Solar,Poor,No,Generator,Rainy
589,Commercial,1000,13,50,84,46,0,1168,Heater,Analog,High,Solar,Poor,No,None,Winter
3633,Residential,6771,89,99,95,14,268,4416,Refrigerator,Smart,High,Solar,Good,No,Generator,Summer
1887,Commercial,1000,69,36,109,64,0,1879,Fan,Smart,Low,Wind,Poor,No,Inverter,Rainy
3139,Commercial,3705,15,48,152,6,0,2971,Refrigerator,Analog,Low,Wind,Poor,Yes,Inverter,Summer
1689,Mixed-use,1000,74,52,148,4,160,1252,Fan,Smart,Low,Solar,Poor,No,Inverter,Winter
3895,Residential,6437,28,70,52,48,103,3789,AC,Smart,Low,Solar,Poor,Yes,Inverter,Rainy
964,Mixed-use,1000,65,57,176,64,16,1110,Heater,Smart,Medium,Grid,Average,Yes,None,Summer
1530,Commercial,2999,38,34,121,34,0,1883,Fan,Analog,Low,Wind,Average,Yes,Inverter,Winter
942,Commercial,1192,53,50,2,66,0,1151,Refrigerator,Analog,High,Solar,Average,No,Generator,Summer
2948,Industrial,5245,56,58,113,41,0,3589,Heater,Analog,Medium,Solar,Poor,Yes,Generator,Winter
